month,division,line,day_type,reporting_category,subcategory,delays
2025-01-01,B DIVISION,A,1,Infrastructure & Equipment,Service Delivery,72
2025-01-01,B DIVISION,A,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,26
2025-01-01,B DIVISION,A,1,Operating Conditions,Other Operating Environment,65
2025-01-01,B DIVISION,A,1,Planned ROW Work,Capital Work - Other Planned ROW,3
2025-01-01,B DIVISION,A,1,Planned ROW Work,Subways Maintenance,447
2025-01-01,B DIVISION,A,1,Planned ROW Work,Work Equipment,28
2025-01-01,B DIVISION,A,1,Police & Medical,Persons on Roadbed,14
2025-01-01,B DIVISION,A,1,Police & Medical,"Public Conduct, Crime, Police Response",232
2025-01-01,B DIVISION,A,1,Police & Medical,Sick/Injured Customer,90
2025-01-01,B DIVISION,A,2,Crew Availability,Crew Availability,21
2025-01-01,B DIVISION,A,2,External Factors,External Agency or Utility,53
2025-01-01,B DIVISION,A,2,External Factors,External Debris on Roadbed,8
2025-01-01,B DIVISION,A,2,Infrastructure & Equipment,Door-Related,2
2025-01-01,B DIVISION,A,2,Infrastructure & Equipment,"Fire, Smoke, Debris",3
2025-01-01,B DIVISION,A,2,Infrastructure & Equipment,Other - CE,7
2025-01-01,B DIVISION,A,2,Infrastructure & Equipment,Other - Sig,72
2025-01-01,B DIVISION,A,2,Infrastructure & Equipment,Other Infrastructure,2
2025-01-01,B DIVISION,A,2,Infrastructure & Equipment,Propulsion,6
2025-01-01,B DIVISION,A,2,Infrastructure & Equipment,Rail and Roadbed,5
2025-01-01,B DIVISION,A,2,Infrastructure & Equipment,Service Delivery,20
2025-01-01,B DIVISION,A,2,Operating Conditions,Other Operating Environment,85
2025-01-01,B DIVISION,A,2,Planned ROW Work,Subways Maintenance,221
2025-01-01,B DIVISION,A,2,Planned ROW Work,Work Equipment,10
2025-01-01,B DIVISION,A,2,Police & Medical,Persons on Roadbed,20
2025-01-01,B DIVISION,A,2,Police & Medical,"Public Conduct, Crime, Police Response",69
