month,borough,day_type,trip_type,route_id,period,number_of_trips_passing_wait,number_of_scheduled_trips,wait_assessment
2015-01-01,Brooklyn,2,LCL/LTD,B16,Peak,1807,2580,0.700387597
2015-01-01,Brooklyn,2,LCL/LTD,B17,Off-Peak,3311,4433,0.746898263
2015-01-01,Brooklyn,2,LCL/LTD,B17,Peak,1184,1832,0.64628821
2015-01-01,Brooklyn,2,LCL/LTD,B2,Off-Peak,1503,1676,0.896778043
2015-01-01,Brooklyn,2,LCL/LTD,B2,Peak,555,656,0.846036585
2015-01-01,Brooklyn,2,LCL/LTD,B20,Off-Peak,5311,6778,0.783564473
2015-01-01,Brooklyn,2,LCL/LTD,B20,Peak,2141,2820,0.759219858
2015-01-01,Brooklyn,2,LCL/LTD,B24,Off-Peak,1705,2179,0.782469022
2015-01-01,Brooklyn,2,LCL/LTD,B24,Peak,610,910,0.67032967
2015-01-01,Brooklyn,2,LCL/LTD,B25,Off-Peak,4259,6596,0.64569436
2015-01-01,Brooklyn,2,LCL/LTD,B25,Peak,1588,2511,0.632417364
2015-01-01,Brooklyn,2,LCL/LTD,B26,Off-Peak,5651,7395,0.764164976
2015-01-01,Brooklyn,2,LCL/LTD,B26,Peak,2197,2992,0.734291444
2015-01-01,Brooklyn,2,LCL/LTD,B3,Off-Peak,8112,10339,0.784601992
2015-01-01,Brooklyn,2,LCL/LTD,B3,Peak,3077,4045,0.760692213
2015-01-01,Brooklyn,2,LCL/LTD,B31,Off-Peak,1545,1875,0.824
2015-01-01,Brooklyn,2,LCL/LTD,B31,Peak,539,666,0.809309309
2015-01-01,Brooklyn,2,LCL/LTD,B32,Off-Peak,589,784,0.75127551
2015-01-01,Brooklyn,2,LCL/LTD,B32,Peak,326,412,0.791262136
2015-01-01,Brooklyn,2,LCL/LTD,B35,Off-Peak,10953,15069,0.72685646
2015-01-01,Brooklyn,2,LCL/LTD,B35,Peak,3793,5207,0.728442481
2015-01-01,Brooklyn,2,LCL/LTD,B36,Off-Peak,2824,3764,0.750265675
2015-01-01,Brooklyn,2,LCL/LTD,B36,Peak,990,1453,0.681348933
2015-01-01,Brooklyn,2,LCL/LTD,B37,Off-Peak,2017,2388,0.844639866
2015-01-01,Brooklyn,2,LCL/LTD,B37,Peak,733,930,0.788172043
2015-01-01,Brooklyn,2,LCL/LTD,B38,Off-Peak,8562,11274,0.759446514
2015-01-01,Brooklyn,2,LCL/LTD,B38,Peak,3355,4517,0.742749613
2015-01-01,Brooklyn,2,LCL/LTD,B4,Off-Peak,3632,4681,0.775902585
2015-01-01,Brooklyn,2,LCL/LTD,B4,Peak,1348,1985,0.679093199
2015-01-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,11264,15467,0.728260167
2015-01-01,Brooklyn,2,LCL/LTD,B41,Peak,4364,6262,0.696901948
2015-01-01,Brooklyn,2,LCL/LTD,B43,Off-Peak,5335,6809,0.783521809
2015-01-01,Brooklyn,2,LCL/LTD,B43,Peak,1861,2427,0.766790276
2015-01-01,Brooklyn,2,LCL/LTD,B44,Off-Peak,8536,11608,0.735354928
2015-01-01,Brooklyn,2,LCL/LTD,B44,Peak,2923,3916,0.746424923
2015-01-01,Brooklyn,2,LCL/LTD,B45,Off-Peak,3587,4783,0.749947732
2015-01-01,Brooklyn,2,LCL/LTD,B45,Peak,1449,1938,0.747678019
2015-01-01,Brooklyn,2,LCL/LTD,B46,Off-Peak,21579,29168,0.739817608
2015-01-01,Brooklyn,2,LCL/LTD,B46,Peak,8526,11733,0.726668371
2015-01-01,Brooklyn,2,LCL/LTD,B47,Off-Peak,8077,10858,0.743875484
2015-01-01,Brooklyn,2,LCL/LTD,B47,Peak,2635,3994,0.659739609
2015-01-01,Brooklyn,2,LCL/LTD,B48,Off-Peak,4424,5553,0.796686476
2015-01-01,Brooklyn,2,LCL/LTD,B48,Peak,1487,1937,0.767681982
2015-01-01,Brooklyn,2,LCL/LTD,B49,Off-Peak,6136,8312,0.738209817
2015-01-01,Brooklyn,2,LCL/LTD,B49,Peak,2442,3291,0.742023701
2015-01-01,Brooklyn,2,LCL/LTD,B52,Off-Peak,5906,7610,0.7760841
2015-01-01,Brooklyn,2,LCL/LTD,B52,Peak,1972,2662,0.740796394
2015-01-01,Brooklyn,2,LCL/LTD,B54,Off-Peak,2837,3767,0.753119193
2015-01-01,Brooklyn,2,LCL/LTD,B54,Peak,979,1391,0.703810208
2015-01-01,Brooklyn,2,LCL/LTD,B57,Off-Peak,4412,5721,0.771193847
2015-01-01,Brooklyn,2,LCL/LTD,B57,Peak,1827,2407,0.759036145
2015-01-01,Brooklyn,2,LCL/LTD,B6,Off-Peak,15606,19164,0.814339386
2015-01-01,Brooklyn,2,LCL/LTD,B6,Peak,5832,7537,0.773782672
2015-01-01,Brooklyn,2,LCL/LTD,B60,Off-Peak,5415,7776,0.696373457
2015-01-01,Brooklyn,2,LCL/LTD,B60,Peak,1824,2638,0.691432904
2015-01-01,Brooklyn,2,LCL/LTD,B61,Off-Peak,5097,6257,0.814607639
2015-01-01,Brooklyn,2,LCL/LTD,B61,Peak,1847,2300,0.803043478
2015-01-01,Brooklyn,2,LCL/LTD,B62,Off-Peak,4564,6058,0.753383955
2015-01-01,Brooklyn,2,LCL/LTD,B62,Peak,1545,2177,0.709692237
2015-01-01,Brooklyn,2,LCL/LTD,B63,Off-Peak,5961,7440,0.801209677
2015-01-01,Brooklyn,2,LCL/LTD,B63,Peak,2191,2748,0.797307132
2015-01-01,Brooklyn,2,LCL/LTD,B64,Off-Peak,3932,5062,0.776768076
2015-01-01,Brooklyn,2,LCL/LTD,B64,Peak,1590,2107,0.754627432
2015-01-01,Brooklyn,2,LCL/LTD,B65,Off-Peak,2461,3843,0.640385116
2015-01-01,Brooklyn,2,LCL/LTD,B65,Peak,825,1502,0.549267643
2015-01-01,Brooklyn,2,LCL/LTD,B67,Off-Peak,2824,3533,0.799320691
2015-01-01,Brooklyn,2,LCL/LTD,B67,Peak,1148,1434,0.80055788
2015-01-01,Brooklyn,2,LCL/LTD,B68,Off-Peak,7178,8908,0.805792546
2015-01-01,Brooklyn,2,LCL/LTD,B68,Peak,2661,3319,0.801747514
